product_id,product_name,brand,ingredients,price,shade,verified_flag,review_count,average_rating,total_sales,monk_category,skin_suitability
PRD_00382,the performer skin-focused foundation,about face,,,unknown,1,7,4.21,5094.0,4.0,normal
PRD_00334,skin-enhancing stick,ami colé,,,unknown,1,7,4.43,2572.0,8.0,oily
PRD_00333,skin-enhancing concealer,ami colé,,,unknown,1,8,4.02,1568.0,10.0,dry
PRD_00335,skin-enhancing tinted moisturizer,ami colé,,,unknown,1,7,4.7,1896.0,9.0,dry
PRD_00058,color control cushion compact broad spectrum spf 50 +,amorepacific,,,unknown,1,6,4.19,3670.0,4.0,normal
PRD_00185,impeccable blurring second-skin matte foundation,anastasia beverly hills,,,unknown,1,6,4.07,4050.0,2.0,sensitive
PRD_00027,beauty balm serum boosted skin tint,anastasia beverly hills,,,unknown,1,8,4.81,4613.0,4.0,normal
PRD_00216,magic touch medium to full coverage concealer,anastasia beverly hills,,,unknown,1,6,4.23,2769.0,3.0,dry
PRD_00212,luminous foundation,anastasia beverly hills,,,unknown,1,7,4.41,2300.0,4.0,normal
PRD_00214,luminous silk perfect natural glow foundation,armani beauty,,,unknown,1,6,4.27,4962.0,8.0,normal
PRD_00272,power fabric + foundation,armani beauty,,,unknown,1,8,4.54,1451.0,5.0,sensitive
PRD_00273,power fabric + longwear matte concealer,armani beauty,,,unknown,1,8,3.73,6503.0,5.0,normal
PRD_00213,luminous silk face and under-eye concealer,armani beauty,,,unknown,1,8,4.34,5850.0,5.0,normal
PRD_00249,neo nude tinted moisturizer,armani beauty,,,unknown,1,5,4.34,6146.0,6.0,normal
PRD_00310,semi-matte powder foundation,au naturale,,,unknown,1,8,4.46,2476.0,4.0,oily
PRD_00477,zero gravity c2p foundation,au naturale,,,unknown,1,7,4.68,6792.0,4.0,normal
PRD_00083,creme starter kit,au naturale,,,unknown,1,7,4.29,6190.0,4.0,normal
PRD_00067,completely covered creme concealer,au naturale,,,unknown,1,6,3.95,1543.0,4.0,normal
PRD_00022,barepro® 24hr skin-perfecting powder foundation,bareminerals,,,unknown,1,8,4.21,1718.0,5.0,normal
PRD_00260,original loose powder foundation spf 15,bareminerals,,,unknown,1,8,4.37,3427.0,5.0,oily
PRD_00261,original pure serum radiant natural liquid foundation mineral spf 20,bareminerals,,,unknown,1,6,4.19,527.0,5.0,sensitive
PRD_00021,barepro® 16hr all over skin-perfecting matte concealer mineral spf 25,bareminerals,,,unknown,1,7,4.38,1320.0,5.0,sensitive
PRD_00209,loose powder concealer spf 20,bareminerals,,,unknown,1,6,4.39,2358.0,4.0,normal
PRD_00259,original liquid mineral concealer,bareminerals,,,unknown,1,9,4.07,4072.0,5.0,dry
PRD_00071,complexion rescue® brightening under eye concealer spf 25,bareminerals,,,unknown,1,5,4.68,2966.0,5.0,normal
PRD_00073,complexion rescue® tinted moisturizer with hyaluronic acid and mineral spf 30,bareminerals,,,unknown,1,8,4.18,3431.0,5.0,normal
PRD_00072,complexion rescue® natural matte tinted moisturizer mineral spf 30,bareminerals,,,unknown,1,9,4.55,3604.0,5.0,normal
PRD_00070,complexion rescue® all-over luminizer mineral spf 20,bareminerals,,,unknown,1,6,4.3,2939.0,2.0,normal
PRD_00379,"the foundation stick for hydrating, buildable coverage and natural finish",basma,,,unknown,1,6,4.28,2441.0,10.0,normal
PRD_00041,bounce™ liquid whip long wear foundation,beautyblender,,,unknown,1,7,3.77,3137.0,1.0,normal
PRD_00002,12-hour always on radiant skin tint with hyaluronic acid & niacinamide,beautyblender,,,unknown,1,8,3.12,1168.0,4.0,normal
PRD_00408,true color® pore perfecting crème powder foundation,blk/opl,,,unknown,1,19,4.45,244.0,9.0,oily
PRD_00410,true color® skin perfecting stick foundation spf 15,blk/opl,,,unknown,1,6,4.25,7069.0,8.0,normal
PRD_00409,true color® pore perfecting liquid foundation,blk/opl,,,unknown,1,11,4.22,3004.0,9.0,normal
PRD_00111,even true™ flawless liquid foundation,blk/opl,,,unknown,1,7,3.18,747.0,8.0,normal
PRD_00407,true color® mineral matte crème powder foundation spf 15,blk/opl,,,unknown,1,6,4.37,1358.0,8.0,normal
PRD_00399,total coverage™ concealing foundation,blk/opl,,,unknown,1,5,4.26,2262.0,8.0,oily
PRD_00417,true tone brightening concealer,blk/opl,,,unknown,1,12,4.34,1442.0,8.0,normal
PRD_00400,total coverage™ face + body concealer,blk/opl,,,unknown,1,8,4.01,1149.0,8.0,normal
PRD_00323,skin foundation spf 15,bobbi brown,,,unknown,1,6,4.39,2009.0,8.0,dry
PRD_00325,skin full cover concealer,bobbi brown,,,unknown,1,5,4.31,967.0,8.0,normal
PRD_00463,weightless skin foundation spf 15,bobbi brown,,,unknown,1,23,3.75,3843.0,8.0,oily
PRD_00319,skin corrector stick,bobbi brown,,,unknown,1,6,4.37,280.0,7.0,dry
PRD_00195,intensive serum foundation spf 40/30,bobbi brown,,,unknown,1,10,4.62,2597.0,8.0,normal
PRD_00332,skin weightless powder foundation,bobbi brown,,,unknown,1,7,4.44,2920.0,7.0,dry
PRD_00324,skin foundation stick,bobbi brown,,,unknown,1,5,4.4,1662.0,8.0,normal
PRD_00326,skin full coverage longwear concealer,bobbi brown,,,unknown,1,11,4.48,3237.0,8.0,dry
PRD_00429,under eye color corrector,bobbi brown,,,unknown,1,9,4.02,342.0,7.0,normal
PRD_00458,vitamin enriched skin tinted moisturizer spf 15,bobbi brown,,,unknown,1,101,4.25,1923.0,8.0,sensitive
PRD_00327,skin long-wear weightless foundation spf 15,bobbi brown,,,unknown,1,7,4.72,2193.0,7.0,normal
PRD_00318,skin concealer stick,bobbi brown,,,unknown,1,6,4.3,2099.0,8.0,normal
PRD_00194,intensive serum concealer,bobbi brown,,,unknown,1,8,4.87,3345.0,6.0,oily
PRD_00238,mattifying powder foundation,burt's bees,,,unknown,1,7,4.67,2579.0,5.0,sensitive
PRD_00124,freedoming skin tint,caliray,,,unknown,1,6,4.23,4364.0,2.0,normal
PRD_00154,hideaway brightening + hydrating under eye color corrector concealer,caliray,,,unknown,1,7,4.27,1336.0,2.0,oily
PRD_00200,les beiges water-fresh complexion touch,chanel,,,unknown,1,8,3.93,3632.0,5.0,normal
PRD_00197,le correcteur de chanel longwear concealer,chanel,,,unknown,1,7,3.68,1713.0,4.0,normal
PRD_00426,ultra le teint ultrawear all-day comfort flawless finish foundation,chanel,,,unknown,1,9,4.1,816.0,4.0,normal
PRD_00198,les beiges healthy glow foundation hydration and longwear,chanel,,,unknown,1,10,4.02,713.0,4.0,dry
PRD_00201,les beiges water-fresh tint,chanel,,,unknown,1,9,4.73,4080.0,5.0,normal
PRD_00258,n°1 de chanel revitalizing foundation,chanel,,,unknown,1,7,4.13,719.0,4.0,oily
PRD_00357,sublimage l'essence de teint ultimate radiance-generating serum foundation,chanel,,,unknown,1,7,4.49,3805.0,5.0,dry
PRD_00359,sublimage le teint ultimate radiance - generating cream foundation,chanel,,,unknown,1,6,3.4,1541.0,4.0,normal
PRD_00442,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 15,chanel,,,unknown,1,6,3.71,1417.0,4.0,sensitive
PRD_00443,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 16,chanel,,,unknown,1,5,4.11,3475.0,4.0,normal
PRD_00444,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 17,chanel,,,unknown,1,5,4.0,5253.0,4.0,normal
PRD_00445,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 18,chanel,,,unknown,1,8,4.06,334.0,5.0,sensitive
PRD_00446,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 19,chanel,,,unknown,1,8,4.59,3034.0,4.0,normal
PRD_00447,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 20,chanel,,,unknown,1,6,4.81,387.0,5.0,normal
PRD_00448,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 21,chanel,,,unknown,1,8,4.11,1674.0,5.0,oily
PRD_00449,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 22,chanel,,,unknown,1,8,4.13,2656.0,5.0,sensitive
PRD_00450,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 23,chanel,,,unknown,1,9,4.13,3224.0,5.0,normal
PRD_00451,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 24,chanel,,,unknown,1,6,3.99,4049.0,5.0,normal
PRD_00452,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 25,chanel,,,unknown,1,8,3.83,1174.0,6.0,oily
PRD_00453,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 26,chanel,,,unknown,1,8,3.73,1376.0,6.0,sensitive
PRD_00454,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 27,chanel,,,unknown,1,8,4.35,2437.0,6.0,normal
PRD_00455,vitalumiere aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 28,chanel,,,unknown,1,6,4.78,3090.0,6.0,dry
